scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-increasing-number-of-states,87,139,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,565270,5695,17105,14,4329,13766,29,0,0,0,5,3409,568830,0,passed,4,2,5,2
cancellation-increasing-number-of-states,88,140,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,453609,5071,15265,22,3565,11032,2,0,0,0,4,2872,456602,0,passed,4,1,5,1
cancellation-increasing-number-of-states,89,141,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,460968,5099,15325,29,3593,11074,1,0,0,0,4,2866,463960,0,passed,4,1,5,1
cancellation-increasing-number-of-states,90,142,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,578649,7703,23449,13,5593,17364,8,0,0,0,5,4327,583170,0,passed,4,1,5,1
cancellation-increasing-number-of-states,91,143,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,461477,3374,9998,6,2479,7680,30,0,0,0,4,1984,463591,0,passed,4,2,4,2
cancellation-increasing-number-of-states,92,144,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,464213,3925,11373,6,2887,8806,22,0,0,0,4,2276,466661,0,passed,4,1,5,1
cancellation-increasing-number-of-states,93,145,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,13,474272,4048,14038,56,2787,9975,10,0,0,0,4,2480,476914,0,passed,4,2,4,2
cancellation-increasing-number-of-states,94,146,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,482847,4951,14913,17,3529,10876,28,0,0,0,4,2822,485850,0,passed,4,1,5,1
cancellation-increasing-number-of-states,95,147,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,577435,7699,23450,29,5573,17353,44,0,0,0,5,4355,581945,0,passed,4,1,5,1
cancellation-increasing-number-of-states,96,148,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,471913,5083,15295,15,3593,11072,18,0,0,0,4,2964,475045,0,passed,4,1,5,1
